pickup_datetime,dropoff_datetime,passenger_count,trip_distance
2023-01-01 00:26:10,2023-01-01 00:37:11,1,2.58
2023-01-01 00:51:03,2023-01-01 00:57:49,1,1.81
2023-01-01 00:35:12,2023-01-01 00:41:32,1,0.00
2023-01-01 00:13:14,2023-01-01 00:19:03,1,1.30
2023-01-01 00:33:04,2023-01-01 00:39:02,1,1.10
2023-01-01 00:53:31,2023-01-01 01:11:04,1,2.78
2023-01-01 00:09:14,2023-01-01 00:26:39,2,3.80
2023-01-01 00:11:58,2023-01-01 00:24:55,1,1.88
2023-01-01 00:41:29,2023-01-01 00:46:26,2,1.11
2023-01-01 00:50:32,2023-01-01 01:13:42,1,4.22
2023-01-01 00:16:12,2023-01-01 00:41:43,2,4.80
2023-01-01 00:08:43,2023-01-01 00:17:08,1,1.99
2023-01-01 00:26:32,2023-01-01 00:45:31,1,7.08
2023-01-01 00:18:35,2023-01-01 00:30:09,1,3.23
2023-01-01 00:39:32,2023-01-01 01:18:06,1,5.91
2023-01-01 00:49:34,2023-01-01 01:08:23,1,11.30
2023-01-01 00:10:45,2023-01-01 00:19:37,1,1.30
2023-01-01 00:35:11,2023-01-01 01:17:35,1,8.28
2023-01-01 00:31:06,2023-01-01 00:42:23,1,2.02
2023-01-01 00:14:37,2023-01-01 00:21:50,1,0.96
2023-01-01 00:26:21,2023-01-01 00:30:26,1,0.96
2023-01-01 00:41:56,2023-01-01 00:46:06,1,0.53
2023-01-01 00:32:02,2023-01-01 00:41:25,4,1.51
2023-01-01 00:55:13,2023-01-01 00:59:47,3,0.88
2023-01-01 00:01:31,2023-01-01 00:16:02,1,2.48
2023-01-01 00:22:31,2023-01-01 00:39:24,1,3.53
2023-01-01 00:57:28,2023-01-01 01:09:31,1,2.25
2023-01-01 00:35:21,2023-01-01 00:53:49,1,2.78
2023-01-01 00:52:52,2023-01-01 01:00:53,1,4.29
2023-01-01 00:32:56,2023-01-01 00:42:53,1,2.53
2023-01-01 00:24:01,2023-01-01 00:32:05,1,1.70
2023-01-01 00:46:48,2023-01-01 01:08:17,1,10.44
2023-01-01 00:40:58,2023-01-01 01:04:32,4,6.78
2023-01-01 00:20:23,2023-01-01 00:24:32,2,1.39
2023-01-01 01:49:24,2023-01-01 01:57:51,1,1.31
2023-01-01 00:41:53,2023-01-01 00:41:58,1,6.70
2023-01-01 00:56:26,2023-01-01 01:14:41,1,3.52
2023-01-01 00:33:10,2023-01-01 00:43:08,1,1.74
2023-01-01 00:58:28,2023-01-01 01:14:46,1,2.31
2023-01-01 00:42:49,2023-01-01 00:51:53,1,1.37
2023-01-01 00:48:21,2023-01-01 01:23:50,1,10.35
2023-01-01 00:08:05,2023-01-01 00:13:26,6,1.05
2023-01-01 00:13:47,2023-01-01 00:25:57,5,3.23
2023-01-01 00:16:10,2023-01-01 00:54:55,3,6.19
2023-01-01 00:04:25,2023-01-01 00:17:50,1,2.80
2023-01-01 00:33:38,2023-01-01 00:38:51,1,1.13
2023-01-01 00:46:08,2023-01-01 00:59:10,1,3.19
2023-01-01 01:00:08,2023-01-01 01:05:46,1,1.26
2023-01-02 00:28:04,2023-01-01 00:43:45,1,2.87
2023-01-02 00:23:04,2023-01-01 23:18:32,1,8.55
2023-01-02 00:34:07,2023-01-01 00:50:01,1,4.46
2023-01-02 00:52:03,2023-01-01 00:57:56,1,1.18
2023-01-02 00:25:31,2023-01-01 00:38:40,5,2.50
